timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734340208002,248,MIT/-1,200,OK,Thread Group For 100 Users 2-1,text,true,,12615,727,1,2,https://www.mit.edu/,247,0,193
1734340208251,56,MIT/themes/mit/assets/favicon/favicon.svg-12,200,OK,Thread Group For 100 Users 2-1,text,true,,904,611,1,2,https://www.mit.edu/themes/mit/assets/favicon/favicon.svg,56,0,0
1734340208307,613,MIT/search-39,200,OK,Thread Group For 100 Users 2-1,text,false,"The operation lasted too long: It took 613 milliseconds, but should not have lasted longer than 400 milliseconds.",10216,1445,1,2,https://www.mit.edu/search/?q=climate+change,300,0,0
1734340208307,300,MIT/search-39-0,301,Moved Permanently,Thread Group For 100 Users 2-1,text,true,,723,722,1,2,https://www.mit.edu/search?q=climate+change,300,0,0
1734340208607,313,MIT/search-39-1,200,OK,Thread Group For 100 Users 2-1,text,true,,9493,723,1,2,https://www.mit.edu/search/?q=climate+change,312,0,0
1734340208923,183,MIT/q/cli?count=3-41,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,511,2,3,https://tlesearch.mit.edu/q/cli?count=3,0,0,138
1734340209106,47,MIT/q/climat?count=3-44,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,514,2,3,https://tlesearch.mit.edu/q/climat?count=3,0,0,0
1734340209153,45,MIT/q/climate?count=3-45,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,515,2,3,https://tlesearch.mit.edu/q/climate?count=3,0,0,0
1734340209012,187,MIT/-1,200,OK,Thread Group For 100 Users 2-2,text,true,,12615,727,2,3,https://www.mit.edu/,187,0,134
1734340209199,46,MIT/themes/mit/assets/favicon/favicon.svg-12,200,OK,Thread Group For 100 Users 2-2,text,true,,904,611,2,3,https://www.mit.edu/themes/mit/assets/favicon/favicon.svg,46,0,0
1734340209199,46,MIT/q/cl?count=3-40,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,510,2,3,https://tlesearch.mit.edu/q/cl?count=3,0,0,0
1734340209245,61,MIT/q/clim?count=3-42,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,512,2,3,https://tlesearch.mit.edu/q/clim?count=3,0,0,0
1734340209306,44,MIT/q/clima?count=3-43,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,513,2,3,https://tlesearch.mit.edu/q/clima?count=3,0,0,0
1734340209245,112,MIT/search-39,200,OK,Thread Group For 100 Users 2-2,text,true,,10216,1445,2,3,https://www.mit.edu/search/?q=climate+change,61,0,0
1734340209245,61,MIT/search-39-0,301,Moved Permanently,Thread Group For 100 Users 2-2,text,true,,723,722,2,3,https://www.mit.edu/search?q=climate+change,61,0,0
1734340209306,51,MIT/search-39-1,200,OK,Thread Group For 100 Users 2-2,text,true,,9493,723,2,3,https://www.mit.edu/search/?q=climate+change,51,0,0
1734340209350,57,MIT/search/-48,200,OK,Thread Group For 100 Users 2-1,text,true,,9493,723,2,3,https://www.mit.edu/search/?q=climate+change,57,0,0
1734340209408,50,MIT/q/climate%20c?count=3-51,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,519,2,3,https://tlesearch.mit.edu/q/climate%20c?count=3,0,0,0
1734340209458,53,MIT/q/climate%20chan?count=3-53,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,522,2,3,https://tlesearch.mit.edu/q/climate%20chan?count=3,0,0,0
1734340209358,153,MIT/q/cli?count=3-41,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,511,2,3,https://tlesearch.mit.edu/q/cli?count=3,0,0,101
1734340209511,45,MIT/q/climate%20chang?count=3-55,204,No Content,Thread Group For 100 Users 2-1,text,true,,527,523,2,3,https://tlesearch.mit.edu/q/climate%20chang?count=3,0,0,0
1734340209511,45,MIT/q/climat?count=3-44,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,514,2,3,https://tlesearch.mit.edu/q/climat?count=3,0,0,0
1734340209557,47,MIT/q/climate?count=3-45,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,515,2,3,https://tlesearch.mit.edu/q/climate?count=3,0,0,0
1734340209556,63,MIT/q/climate%20chan?count=3-54,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,522,2,3,https://tlesearch.mit.edu/q/climate%20chan?count=3,0,0,0
1734340209604,50,MIT/q/cl?count=3-40,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,510,2,3,https://tlesearch.mit.edu/q/cl?count=3,0,0,0
1734340209620,56,MIT/q/climate%20ch?count=3-52,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,520,2,3,https://tlesearch.mit.edu/q/climate%20ch?count=3,0,0,0
1734340209654,49,MIT/q/clim?count=3-42,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,512,2,3,https://tlesearch.mit.edu/q/clim?count=3,0,0,0
1734340209703,44,MIT/q/clima?count=3-43,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,513,2,3,https://tlesearch.mit.edu/q/clima?count=3,0,0,0
1734340209676,105,MIT/themes/mit/assets/js/modernizr.js-63,200,OK,Thread Group For 100 Users 2-1,text,true,,6147,578,2,3,https://www.mit.edu/themes/mit/assets/js/modernizr.js?rzw0g3,105,0,0
1734340209747,54,MIT/search/-48,200,OK,Thread Group For 100 Users 2-2,text,true,,9493,723,2,3,https://www.mit.edu/search/?q=climate+change,53,0,0
1734340209782,46,MIT/q/climate%20?count=3-50,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,518,2,3,https://tlesearch.mit.edu/q/climate%20?count=3,0,0,0
1734340209802,43,MIT/q/climate%20c?count=3-51,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,519,2,3,https://tlesearch.mit.edu/q/climate%20c?count=3,0,0,0
1734340209845,50,MIT/q/climate%20chan?count=3-53,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,522,2,3,https://tlesearch.mit.edu/q/climate%20chan?count=3,0,0,0
